=== GPU Monitor Started: Mon Oct 27 17:31:21 EAT 2025 ===
[2025-10-27 17:31:21] MEM:1908MB | UTIL:92% | TEMP:51°C
[2025-10-27 17:31:26] MEM:1908MB | UTIL:92% | TEMP:57°C
[2025-10-27 17:31:31] MEM:1908MB | UTIL:91% | TEMP:61°C
[2025-10-27 17:31:36] MEM:1908MB | UTIL:0% | TEMP:60°C
[2025-10-27 17:31:41] MEM:1908MB | UTIL:0% | TEMP:57°C
[2025-10-27 17:31:46] MEM:1908MB | UTIL:92% | TEMP:64°C
[2025-10-27 17:31:51] MEM:1908MB | UTIL:92% | TEMP:67°C
[2025-10-27 17:31:56] MEM:1908MB | UTIL:0% | TEMP:61°C
[2025-10-27 17:32:01] MEM:1908MB | UTIL:0% | TEMP:59°C
[2025-10-27 17:32:06] MEM:1908MB | UTIL:0% | TEMP:58°C
[2025-10-27 17:32:12] MEM:1908MB | UTIL:0% | TEMP:57°C
[2025-10-27 17:32:17] MEM:1908MB | UTIL:0% | TEMP:56°C
[2025-10-27 17:32:22] MEM:1908MB | UTIL:0% | TEMP:55°C
[2025-10-27 17:32:27] MEM:1908MB | UTIL:0% | TEMP:54°C
[2025-10-27 17:32:32] MEM:1908MB | UTIL:0% | TEMP:53°C
[2025-10-27 17:32:37] MEM:1908MB | UTIL:0% | TEMP:52°C
[2025-10-27 17:32:42] MEM:1908MB | UTIL:0% | TEMP:52°C
[2025-10-27 17:32:47] MEM:1908MB | UTIL:92% | TEMP:57°C
[2025-10-27 17:32:52] MEM:1908MB | UTIL:91% | TEMP:62°C
[2025-10-27 17:32:57] MEM:1908MB | UTIL:92% | TEMP:66°C
[2025-10-27 17:33:02] MEM:1908MB | UTIL:93% | TEMP:70°C
[2025-10-27 17:33:08] MEM:1908MB | UTIL:92% | TEMP:73°C
[2025-10-27 17:33:13] MEM:1908MB | UTIL:92% | TEMP:75°C
=== GPU Monitor Started: Mon Oct 27 17:40:09 EAT 2025 ===
[2025-10-27 17:40:09] MEM:466MB | UTIL:0% | TEMP:51°C
[2025-10-27 17:40:14] MEM:466MB | UTIL:0% | TEMP:51°C
